Symbol	Company	
4.74
-2.47%	4.296B	725.274M	2024-08-26	199.036M	Series E	Data and Analytics
ARWO.PVT
Arctic Wolf	
8.00
0.00%	4.21B	501.343M	2021-07-12	75M	Series F	Privacy and Security
THFD.PVT
The Farmer's Dog	
25.92
+19.56%	4.122B	267.955M	2022-06-07	100M	Series E	Consumer Goods
HARN.PVT
Harness	
19.00
+37.98%	4.116B	715.854M	2025-12-10	200M	Tender Offer 1	Software
NURO.PVT
Nuro	
8.50
-28.45%	3.986B	2.206B	2025-08-20	203.188M	Series E	Transportation
TANI.PVT
Tanium	
4.71
-10.63%	3.72B	470.943M	2020-06-24	150M	Series H	Privacy and Security
DITD.PVT
Divergent 3D	
42.26
+50.93%	3.373B	884.612M	2026-07-16	350M	Series F-1	Manufacturing
ALCH.PVT
Alchemy	
170.20
--	3.367B	--	--	--		--
STOS.PVT
Stoke Space	
40.00
+100.00%	2.74B	1.194B	2026-02-09	350M	Series D-2	Science and Engineering
AIR.PVT
Airtable	
42.37
-29.38%	2.655B	1.353B	2021-12-12	735M	Series F	Software
TATE.PVT
TAE Technologies	
45.00
+131.24%	2.472B	1.187B	2025-06-01	150M	Series 12	Energy
WORA.PVT
Workato	
6.78
+13.00%	2.39B	441.249M	2021-11-09	200M	Series E	Software
ADDE.PVT
Addepar	
2.55
-22.73%	2.328B	720.918M	2025-05-12	230.711M	Series G	Financial Services
SINA.PVT
Sila Nanotechnologies	
16.42
+2.63%	2.328B	1.319B	2026-07-20	300M	Series H	Energy
POSM.PVT
Postman	
7.25
-29.61%	2.303B	352.001M	2021-08-17	145M	Series D	Software
AGRO.PVT
Agility Robotics	
71.00
+5.23%	2.279B	641.249M	2025-06-24	400M	Series C-3	Hardware
MOTV.PVT
Motive	
17.17
+9.02%	2.26B	434.602M	2025-07-29	169.945M	Series F Senior	Supply Chain and Logistics
STRV.PVT
Strava	
13.99
0.00%	2.2B	228.485M	2025-05-21	50M	Series F-1	Apps
INTC.PVT
Intercom	
51.03
+104.12%	2.021B	241.365M	2018-03-16	125M	Series D	Sales and Marketing
RAPP.PVT
Rappi	
20.20
+1.00%	1.68B	2.069B	2022-09-14	608.6M	Series F	Transportation
CONS.PVT
ConsenSys	
29.60
+42.93%	1.494B	704.725M	2022-03-14	450M	Series D	Blockchain and Crypto
AUAN.PVT
Automation Anywhere	
3.60
-10.00%	1.474B	815M	2019-11-20	174M	Series B	Data and Analytics
CHAA.PVT
Chainalysis	
6.20
-36.34%	1.323B	587.402M	2022-05-11	150M	Series F	Privacy and Security
INNA.PVT
Innovaccer	
2.62
-24.50%	1.223B	653.62M	2025-01-08	153.044M	Series F-1	Health Care
CIHE.PVT
Cityblock Health	
15.38
-15.86%	1.217B	1.827B	2024-06-17	39M	Series X	Health Care
GERO.PVT
Gecko Robotics	
45.99
+4.24%	1.167B	349.003M	2025-06-11	116.065M	Series D-1	Hardware
TURO.PVT
Turo	
8.65
-23.99%	1.103B	557.898M	2024-09-29	457,448	Series 1	Transportation
NEFJ.PVT
Neo4j	
6.10
-18.12%	1.091B	711.825M	2021-11-08	197.031M	Series F	Data and Analytics
EPIR.PVT
Epirus	
3.00
+7.14%	1.083B	541.339M	2025-03-03	250M	Series D	Government and Military
EISL.PVT
Eight Sleep	
5.76
+33.95%	1.076B	269.776M	2026-03-03	69.122M	Series D	Consumer Electronics
LOOR.PVT
Loft Orbital	
24.77
+54.81%	954.47M	316.273M	2025-01-13	170M	Series C	Space
THMA.PVT
Thrive Market	
18.15
-11.46%	948.698M	602.662M	2021-07-07	86.377M	Series C	Food and Beverage
ATTE.PVT
Attentive	
6.03
-18.07%	913.457M	866.121M	2021-03-23	470.1M	Series E	Sales and Marketing
LIDE.PVT
Liquid Death	
7.69
-12.11%	836.247M	2.484B	2024-03-10	67.61M	Series F-1	Food and Beverage
CRES.PVT
Cresta	
5.03
+118.70%	833.097M	279.411M	2024-11-18	125M	Series D	Software
FLEP.PVT
Flexport	
2.95
+2.08%	828.909M	2.134B	2022-02-06	935M	Series E	Supply Chain and Logistics
INSA.PVT
Instabase	
3.97
0.00%	801.783M	276.216M	2025-01-16	100M	Series D	Data and Analytics
DRAG.PVT
Dragos	
20.00
+32.63%	798.919M	433.391M	2023-09-17	274M	Series D	Privacy and Security
VECR.PVT
Vectra AI	
4.96
-6.77%	782.969M	352.234M	2021-04-28	130M	Series F	Privacy and Security
DIAL.PVT
Dialpad	
3.98
0.00%	756.673M	--	--	--		--
PATR.PVT
Patreon	
8.83
-18.32%	706.18M	407.775M	2021-04-05	155M	Series F	Media and Entertainment
FLOQ.PVT
FloQast	
7.29
-23.66%	704.286M	303.775M	2024-04-09	60.294M	Series E	Software
DTMR.PVT
Dataminr	
7.50
-15.82%	698.938M	1.035B	2021-03-22	475M	Series F	Software
GREE.PVT
Greenlight	
15.76
0.00%	600.95M	1.11B	2021-04-26	260M	Series D	Financial Services
ENRX.PVT
EnergyX	
5.67
0.00%	571.512M	105.846M	2023-06-29	37.433M	Series B	Energy
APOL.PVT
Apollo.io	
7.57
-52.69%	547.018M	656.524M	2023-08-28	100.65M	Series D	Sales and Marketing
SIXS.PVT
6sense	
3.25
-45.19%	534.437M	525.798M	2022-01-19	180M	Series E-1	Software
BIGI.PVT
BigID	
1.93
-0.52%	531.534M	1.216B	2024-03-17	61.44M	Series E	Privacy and Security
THSP.PVT
ThoughtSpot	
3.20
-30.89%	520.325M	802.884M	2023-07-17	124.638M	Series F-1	Software
WORR.PVT
Workrise	
75.00
-29.44%	518.946M	786.709M	2021-05-19	300M	Series E	Administrative Services
ZOCD.PVT
Zocdoc	
5.00
0.00%	446.48M	1.149B	2021-02-10	100M	Series D-2	Health Care
IMPF.PVT
Impossible Foods	
1.51
-25.62%	427.352M	1.961B	2021-11-22	500.145M	Series H-1	Food and Beverage
AVIA.PVT
Aviatrix	
3.48
0.00%	411.025M	383.087M	2021-09-07	200M	Series E	Data and Analytics
TEAL.PVT
Tealium	
4.79
0.00%	401.222M	--	--	--		--
PLEN.PVT
Plenty	
0.22
--	398.037M	--	--	--		--
COLH.PVT
Collective Health	
0.18
-10.00%	366.863M	713.283M	2021-05-03	280M	Series F	Health Care
AVTN.PVT
Avathon	
3.60
-25.00%	323.218M	653.023M	2022-01-24	123M	Series D	Artificial Intelligence
BLOO.PVT
Bloomreach	
3.99
-43.00%	323.023M	444.093M	2022-02-22	175M	Series F	Sales and Marketing
STDA.PVT
Starburst Data	
0.55
-12.70%	320.555M	431.699M	2022-02-08	250M	Series D	Data and Analytics
ACOR.PVT
Acorns	
2.00
-53.38%	311.6M	838.725M	2023-03-30	111.358M	Series G-E	Financial Services
SIST.PVT
SingleStore	
1.51
-1.31%	310.482M	388.782M	2022-07-11	116M	Series F-2	Data and Analytics
LEOL.PVT
LeoLabs	
2.80
+17.15%	302.687M	422.932M	2024-02-11	94M	Series B	Space
NEWS.PVT
Newsela	
5.84
0.00%	297.125M	188.971M	2021-02-24	100M	Series D	Education
KORE.PVT
Kore.ai	
4.43
-29.35%	247.495M	248.088M	2024-01-29	150M	Series D	Software
OUTR.PVT
Outreach	
1.50
-14.29%	227.388M	490.857M	2021-05-26	201.027M	Series G	Software
DATO.PVT
DataRobot	
0.72
+80.00%	169.773M	3.361B	2021-07-26	330M	Series G	Data and Analytics
STAA.PVT
Stability AI	
26.06
--	150.181M	--	--	--		--
HTWO.PVT
H2O.ai	
2.29
-50.54%	136.009M	744.029M	2021-11-06	91.031M	Series E	Software
NEXO.PVT
NextRoll	
1.68
--	85.844M	--	--	--		--
TUTE.PVT
Turntide Technologies	
0.32
--	76.372M	--	--	--		--
